,date,open,high,low,close,volume,average,barCount
672,2023-02-21,150.34,151.3,148.4,148.48,37423127.0,149.612,176165
673,2023-02-22,148.81,149.95,147.16,148.91,37679338.0,148.48,171777
674,2023-02-23,150.09,150.34,147.24,149.4,35265981.0,148.773,170108
675,2023-02-24,147.13,147.19,145.72,146.71,39737438.0,146.302,183608
676,2023-02-27,147.71,149.17,147.45,147.92,32019306.0,148.191,150978
677,2023-02-28,147.05,149.08,146.83,147.41,30195044.0,147.962,150232
678,2023-03-01,146.83,147.23,145.01,145.31,37145587.0,145.964,187467
679,2023-03-02,144.41,146.71,143.9,145.91,36646909.0,145.044,173832
680,2023-03-03,148.09,151.11,147.33,151.03,47751342.0,149.857,221212
681,2023-03-06,153.81,156.3,153.46,153.83,65384332.0,154.803,276126
682,2023-03-07,153.64,154.03,151.13,151.6,41641370.0,152.346,207343
683,2023-03-08,152.77,153.47,151.83,152.87,37163169.0,152.689,172851
684,2023-03-09,153.49,154.54,150.22,150.59,39962584.0,152.745,195046
685,2023-03-10,150.21,150.94,147.6,148.5,50731374.0,149.128,265956
686,2023-03-13,147.81,153.14,147.7,150.47,63598014.0,151.333,351013
687,2023-03-14,151.27,153.4,150.1,152.59,50383686.0,152.005,254516
688,2023-03-15,151.19,153.25,149.92,152.99,53542299.0,151.533,303295
689,2023-03-16,152.15,156.46,151.64,155.85,56772468.0,154.675,297917
690,2023-03-17,156.08,156.74,154.28,155.0,60218668.0,155.47,255985
691,2023-03-20,155.03,157.82,154.15,157.4,51388859.0,156.452,246343
692,2023-03-21,157.29,159.4,156.54,159.28,50287990.0,158.11,238201
693,2023-03-22,159.29,162.14,157.81,157.83,54562750.0,160.022,259317
694,2023-03-23,158.77,161.56,157.68,158.93,50035497.0,159.641,256474
695,2023-03-24,158.88,160.34,157.85,160.25,41845530.0,159.072,199772
696,2023-03-27,159.93,160.77,157.87,158.28,36560222.0,159.172,178048
697,2023-03-28,157.99,158.49,155.98,157.65,34128815.0,156.86,159425
